step,type,amount,nameOrig,oldBalanceOrig,nameDest,oldBalanceDest
573,CASH_OUT,66482.36,C1680449043,0.0,C1283271527,1297709.83
374,CASH_OUT,176418.16,C918210718,50196.0,C320842897,4892863.84
589,PAYMENT,3080.03,C1573584228,200079.0,M823845890,0.0
404,PAYMENT,7486.62,C1273316324,23281.0,M815759566,0.0
681,CASH_IN,219992.94,C1674244737,1232379.03,C1962724972,1866593.68
522,CASH_IN,3998.27,C1403283482,1428291.62,C1894465773,79671.69
375,CASH_IN,166217.51,C256946242,726565.42,C133784297,637374.86
380,PAYMENT,12491.09,C1319872508,59781.0,M183722121,0.0
495,PAYMENT,9918.83,C1458635296,0.0,M2044644916,0.0
373,CASH_OUT,383821.16,C1687054353,160.0,C1848383364,34301.17
505,CASH_IN,86477.0,C1099460180,6054329.38,C995190891,3955007.06
692,PAYMENT,16904.09,C1982255857,0.0,M1917169537,0.0
596,CASH_IN,318141.35,C1382195285,2744715.3,C1649452467,922756.34
474,CASH_IN,195173.92,C1702192065,2418490.9,C876525099,956584.04
490,TRANSFER,765444.06,C479542493,0.0,C517745424,4698240.72
379,CASH_IN,7847.66,C507019695,6953579.46,C821513473,19430.91
376,CASH_OUT,259301.36,C152112971,21126.0,C686529377,13208328.76
717,TRANSFER,751854.42,C438492576,751854.42,C1547774337,0.0
404,PAYMENT,4256.43,C1786593813,0.0,M92831900,0.0
371,CASH_IN,14208.3,C1450210166,20387.0,C147580090,27733694.1
425,CASH_OUT,19421.77,C356706674,19421.77,C1498886294,663000.64
379,PAYMENT,1083.43,C1862446412,35301.69,M661791707,0.0
405,CASH_OUT,17801.12,C1083863804,1775.0,C127568302,0.0
374,CASH_IN,67516.84,C1500755276,176188.08,C536332068,769433.07
370,CASH_OUT,398806.68,C1595951292,497786.0,C815390761,878751.01
720,TRANSFER,57040.65,C1257271049,57040.65,C1648581117,0.0
372,CASH_OUT,50892.06,C317993619,242599.0,C401788543,1663035.57
408,CASH_OUT,67128.26,C358465241,91862.36,C1567947232,1105308.91
690,PAYMENT,3295.67,C516235328,176587.0,M159933145,0.0
567,PAYMENT,7828.24,C1084470314,76522.0,M2117939280,0.0
402,CASH_IN,358200.94,C11265734,11442.0,C979946358,3538754.1
378,PAYMENT,12127.84,C1496921458,22258.78,M1922185493,0.0
659,CASH_IN,136205.05,C196729352,901807.8,C1210304881,407010.61
396,PAYMENT,1937.57,C1198884341,0.0,M210249088,0.0
356,PAYMENT,24267.58,C1163023838,0.0,M109591520,0.0
547,CASH_OUT,197095.79,C1151638853,96131.0,C468695014,0.0
375,CASH_OUT,211545.86,C1625472721,0.0,C1816115790,1921402.19
403,PAYMENT,3984.66,C1864625738,1241.0,M1983403177,0.0
400,CASH_OUT,217552.45,C1239122591,12455.0,C1625825736,3073994.41
396,TRANSFER,1263113.71,C847542896,50471.0,C1635703877,0.0
408,PAYMENT,4448.07,C1582366390,105113.0,M1814629768,0.0
439,CASH_IN,429241.33,C764627309,9361738.54,C107018015,2312939.82
613,CASH_OUT,163193.02,C181181612,659613.5,C83748584,373805.02
379,TRANSFER,1129616.9,C1787283841,43985.0,C778486758,190782.39
375,PAYMENT,26365.48,C770872408,48889.67,M1695472848,0.0
661,PAYMENT,40439.18,C1831329953,0.0,M1713658432,0.0
375,TRANSFER,251583.96,C1444067772,0.0,C1910451215,2327809.44
375,TRANSFER,406868.01,C393230409,11328.0,C1915657452,0.0
394,CASH_OUT,222885.05,C657607395,20797.0,C569721716,0.0
405,PAYMENT,5844.43,C46853792,7037.0,M1895317515,0.0
573,PAYMENT,81.62,C1511398320,192.0,M1379473245,0.0
400,CASH_IN,97221.39,C2145348975,2290027.59,C1739759798,561141.28
402,PAYMENT,3509.46,C1672465901,123438.3,M404043257,0.0
358,TRANSFER,1227815.57,C947783015,0.0,C27458766,25968725.16
383,CASH_OUT,147647.16,C2096649238,0.0,C916118109,1666669.98
379,CASH_OUT,5774.65,C2136677878,51500.0,C1940292010,670774.4
426,PAYMENT,4529.81,C1546265789,181500.17,M1095040904,0.0
481,TRANSFER,20296.68,C1415686677,20296.68,C384177810,0.0
395,CASH_OUT,185098.85,C742976750,152.0,C522080879,1072191.84
374,CASH_OUT,101260.39,C971716211,131474.0,C2059459972,105204.03
656,CASH_IN,40890.95,C1279805700,9699559.91,C408647700,495165.45
619,CASH_OUT,22228.25,C709003869,0.0,C1359953204,715672.02
525,PAYMENT,6983.49,C1614159133,0.0,M1372207205,0.0
372,PAYMENT,22919.5,C1400138002,75817.51,M146797095,0.0
563,CASH_IN,86295.17,C1418100482,6395032.03,C2110957342,750530.33
357,PAYMENT,8625.9,C1515811545,0.0,M2095101082,0.0
378,CASH_IN,34589.77,C69126459,16400.0,C950443142,335356.69
358,CASH_OUT,1438737.78,C498447652,1438737.78,C17820769,7014552.73
400,CASH_OUT,397177.2,C2022065013,1.0,C1410930264,829815.73
375,TRANSFER,302031.17,C900339809,0.0,C239327601,625638.79
590,CASH_OUT,50360.53,C319437846,0.0,C336367435,384869.16
394,CASH_OUT,386744.23,C40467615,5156.0,C1749436427,0.0
397,TRANSFER,536895.6,C2043240763,0.0,C200653608,1421878.13
356,CASH_IN,30509.67,C36145183,43547.0,C1016138008,669703.13
594,CASH_IN,155849.71,C172139674,41800.0,C2144929113,863984.11
403,CASH_OUT,143060.32,C2028513227,1150.0,C885434726,1396869.0
377,PAYMENT,7486.44,C1446882881,737712.91,M674445683,0.0
406,PAYMENT,20713.73,C915436385,0.0,M468065775,0.0
582,CASH_OUT,283483.18,C646505788,0.0,C339624587,483782.0
403,CASH_OUT,456278.59,C625046917,24916.0,C1490571208,0.0
370,CASH_OUT,89387.23,C335627384,0.0,C1641409569,136933.64
402,PAYMENT,16035.47,C17801528,0.0,M183889126,0.0
382,PAYMENT,5170.82,C91683154,83.0,M1158370871,0.0
396,PAYMENT,49510.22,C1419362867,0.0,M2022034408,0.0
397,CASH_OUT,195438.19,C1535919003,0.0,C1959606066,1023798.3
370,CASH_OUT,240727.48,C464061689,0.0,C1794893473,4132487.27
492,CASH_OUT,332175.65,C1707152815,449116.0,C1111577332,0.0
402,TRANSFER,652143.85,C2107316389,5915.0,C635460359,197053.19
394,CASH_IN,427047.24,C1808333873,4730178.12,C1468717516,672539.29
399,PAYMENT,9043.23,C850898747,0.0,M1546557567,0.0
379,CASH_IN,254978.08,C480513937,8409015.13,C1628577870,2213239.78
370,CASH_IN,53698.93,C68546445,22563.0,C759924395,4581.11
379,PAYMENT,1442.25,C1904711294,16072.74,M1099145073,0.0
356,CASH_IN,20605.44,C1028136295,610044.0,C1938835312,0.0
380,CASH_OUT,3818.75,C966876454,0.0,C989433986,90185.42
518,PAYMENT,12188.64,C1648600241,11137.0,M687756961,0.0
380,PAYMENT,3082.8,C539896852,17055.0,M1867067373,0.0
375,CASH_OUT,562233.36,C1374310669,0.0,C2020312744,1305503.42
567,PAYMENT,6529.72,C244627551,401385.9,M1346259601,0.0
381,PAYMENT,3297.18,C497537462,81198.77,M72999518,0.0
378,CASH_OUT,92118.3,C103302067,13344.0,C774939541,0.0
522,CASH_OUT,12284.76,C657523586,0.0,C1966066867,2088974.45
374,PAYMENT,2667.63,C1843603168,70682.0,M1182103452,0.0
377,CASH_IN,248571.53,C1415689054,50400.0,C1837253034,343805.08
476,CASH_IN,27089.23,C1098157246,4996331.4,C238357147,4233338.25
395,PAYMENT,7384.78,C134165935,54145.86,M562506937,0.0
396,CASH_IN,12824.02,C399436274,6405570.66,C1860565913,271329.95
661,CASH_IN,396358.43,C1552922549,45425.0,C381662955,3233700.29
403,CASH_OUT,185126.61,C2002629369,107338.0,C405679813,0.0
396,PAYMENT,30642.57,C1818001458,428849.21,M1641759706,0.0
376,CASH_OUT,22320.63,C790296086,45591.0,C1883819015,74904.97
564,PAYMENT,23625.4,C1033735935,243986.0,M287545334,0.0
