step,nameOrig,isFraud
573,C1680449043,0
374,C918210718,0
589,C1573584228,0
404,C1273316324,0
681,C1674244737,0
522,C1403283482,0
375,C256946242,0
380,C1319872508,0
495,C1458635296,0
373,C1687054353,0
505,C1099460180,0
692,C1982255857,0
596,C1382195285,0
474,C1702192065,0
490,C479542493,0
379,C507019695,0
376,C152112971,0
717,C438492576,1
404,C1786593813,0
371,C1450210166,0
425,C356706674,1
379,C1862446412,0
405,C1083863804,0
374,C1500755276,0
370,C1595951292,0
720,C1257271049,1
372,C317993619,0
408,C358465241,0
690,C516235328,0
567,C1084470314,0
402,C11265734,0
378,C1496921458,0
659,C196729352,0
396,C1198884341,0
356,C1163023838,0
547,C1151638853,0
375,C1625472721,0
403,C1864625738,0
400,C1239122591,0
396,C847542896,0
408,C1582366390,0
439,C764627309,0
613,C181181612,0
379,C1787283841,0
375,C770872408,0
661,C1831329953,0
375,C1444067772,0
375,C393230409,0
394,C657607395,0
405,C46853792,0
573,C1511398320,0
400,C2145348975,0
402,C1672465901,0
358,C947783015,0
383,C2096649238,0
379,C2136677878,0
426,C1546265789,0
481,C1415686677,1
395,C742976750,0
374,C971716211,0
656,C1279805700,0
619,C709003869,0
525,C1614159133,0
372,C1400138002,0
563,C1418100482,0
357,C1515811545,0
378,C69126459,0
358,C498447652,1
400,C2022065013,0
375,C900339809,0
590,C319437846,0
394,C40467615,0
397,C2043240763,0
356,C36145183,0
594,C172139674,0
403,C2028513227,0
377,C1446882881,0
406,C915436385,0
582,C646505788,0
403,C625046917,0
370,C335627384,0
402,C17801528,0
382,C91683154,0
396,C1419362867,0
397,C1535919003,0
370,C464061689,0
492,C1707152815,0
402,C2107316389,0
394,C1808333873,0
399,C850898747,0
379,C480513937,0
370,C68546445,0
379,C1904711294,0
356,C1028136295,0
380,C966876454,0
518,C1648600241,0
380,C539896852,0
375,C1374310669,0
567,C244627551,0
381,C497537462,0
378,C103302067,0
522,C657523586,0
374,C1843603168,0
377,C1415689054,0
476,C1098157246,0
395,C134165935,0
396,C399436274,0
661,C1552922549,0
403,C2002629369,0
396,C1818001458,0
376,C790296086,0
564,C1033735935,0
528,C1810648900,0
637,C1610161443,0
375,C1864385849,0
691,C1166422818,0
401,C601305850,0
571,C1454813506,0
567,C1468758995,0
400,C732252719,0
405,C507413068,0
686,C112644885,0
520,C7087683,0
378,C2131926406,0
592,C1595581115,0
492,C2140055831,0
394,C1278326718,0
716,C882089565,0
406,C584569553,0
371,C102624538,0
404,C1096624321,0
399,C333720354,0
359,C548723235,0
544,C738416662,0
399,C534246258,0
400,C1084125055,0
404,C654578271,0
370,C151987227,0
371,C1546421273,0
369,C862428102,0
594,C1974361598,0
404,C1334757446,0
378,C1339114845,0
476,C464583916,0
374,C564085399,0
377,C1326695544,0
448,C1615113331,0
371,C1047328268,0
374,C1306346781,0
371,C1290566025,0
360,C773679473,0
394,C2097374371,0
525,C204778273,0
500,C1988187934,0
376,C1440811022,0
401,C254296945,0
380,C581076058,0
373,C1170168422,0
396,C1900821249,0
688,C59614340,0
681,C277192111,0
408,C2134592835,0
402,C2012994623,0
380,C1047549911,0
403,C648709452,0
396,C1704294527,0
372,C1861461304,1
380,C2078791089,0
375,C1128259302,0
374,C760307395,0
548,C660084714,0
380,C1341194705,0
550,C274039065,0
573,C1207921092,0
396,C1823863413,0
548,C1902359452,0
376,C1019535252,0
397,C692658317,0
402,C1647202075,0
522,C1553810487,0
564,C1199803549,0
540,C457132528,0
378,C1252091862,0
377,C906740048,0
403,C1376743953,0
393,C1921502122,0
380,C918612677,0
400,C198195278,0
573,C553221151,0
372,C1318928934,0
448,C1338866655,0
380,C1461900841,0
372,C1928693285,0
405,C1130574273,0
373,C2037462525,0
659,C1995756406,0
380,C923332876,0
406,C969975788,0
383,C1514233756,0
377,C264151116,0
522,C703171700,0
379,C1648771398,0
406,C516103778,0
569,C1765713879,0
376,C161786417,0
564,C1297486001,0
402,C912629600,0
379,C150326913,0
686,C1171637553,0
376,C515260055,0
404,C583191867,0
687,C1845873198,0
401,C597892447,0
535,C602476051,1
574,C1199199740,0
373,C1947396387,0
394,C285793019,0
404,C216652331,0
656,C747420495,0
490,C77292624,0
381,C126573195,0
380,C1945468652,0
403,C1514887009,0
400,C1093067011,0
395,C591269757,0
371,C1315178344,0
466,C1266070426,0
398,C238964967,0
375,C644231681,0
395,C1927497467,0
595,C1416795523,0
500,C850604400,0
397,C400822370,0
400,C1955007393,0
395,C1899031720,0
406,C523685624,0
684,C1273676831,0
546,C1792818352,0
378,C1896047092,0
695,C659979885,0
393,C1381183750,0
402,C1321105860,0
369,C984826711,0
370,C1255901117,0
394,C1915565690,0
398,C2122478584,0
451,C1182810094,0
382,C740016813,0
574,C545365411,0
492,C1154140278,0
373,C733172675,0
500,C2097384488,0
544,C2028484071,0
373,C1342852138,0
686,C940071948,0
590,C1231956048,0
404,C1779165723,0
373,C1353978265,1
404,C837045531,0
396,C2140488206,0
373,C1340495234,0
538,C595314959,0
395,C1344590026,0
396,C1161611931,0
395,C2116635506,0
448,C564976325,0
397,C940507156,0
376,C580841735,0
687,C1992920316,0
408,C473612137,0
548,C635251750,0
398,C134247751,0
402,C2057867858,0
380,C2060159585,0
406,C1802941932,0
376,C1296468588,0
381,C194559137,0
375,C1606615514,0
374,C1299196396,0
710,C182380487,0
374,C1914983839,0
398,C1932182031,0
375,C800448254,0
383,C1145944802,1
396,C2088944540,0
431,C341103517,0
640,C162220234,0
356,C1955820198,0
599,C166225858,0
400,C48223175,0
356,C189841031,0
380,C312437489,0
379,C716511242,0
373,C352384035,0
395,C1932288585,0
356,C1937606855,0
522,C46305640,0
374,C79861529,0
379,C1221769069,0
398,C1301082048,0
545,C164002912,0
380,C179159410,0
380,C534854908,0
369,C1561013240,0
546,C1278791843,0
492,C1495132429,0
372,C1478891250,0
401,C106501665,0
403,C1954993426,0
357,C1647850015,0
522,C1284808593,0
399,C1577394184,0
451,C1451628686,0
401,C1379006944,0
399,C1394955597,0
403,C72437268,0
544,C1607926156,0
522,C783073554,0
659,C35140812,0
378,C133232733,0
500,C127896840,0
379,C2027919614,0
586,C1677024490,0
395,C114347101,0
709,C221546249,0
426,C1832673079,0
383,C1845156324,0
356,C333398343,0
399,C167084602,0
542,C951739587,0
396,C960015533,0
401,C991801962,0
374,C2118698269,0
376,C1219852877,0
404,C648302718,0
401,C2062396346,0
372,C1255665379,0
356,C1447704139,0
378,C697800160,0
404,C233735481,0
694,C414573639,0
395,C1304136212,0
640,C1460034569,0
402,C529499529,0
359,C1750022019,0
404,C78278524,0
551,C859916441,0
382,C1037054955,0
373,C1284934261,0
370,C639146451,0
402,C33135183,0
377,C553922132,0
374,C2010871209,0
356,C1536715316,0
371,C361835414,0
500,C1123221150,0
400,C1342453424,0
369,C1171987177,0
404,C636501708,0
514,C1689109243,0
691,C417175925,0
358,C653878784,0
393,C228097484,0
398,C1641659569,0
397,C1851727582,0
378,C1449344625,0
401,C1724459137,0
428,C973128465,0
381,C734192536,0
371,C518491654,0
398,C590267292,0
375,C1314074341,0
500,C1127292175,0
564,C1755717093,0
400,C653554870,0
495,C1923904007,0
401,C1128257006,0
373,C1392719666,0
374,C1982361205,0
358,C848093426,0
378,C249304123,0
378,C1146906400,0
403,C246398068,0
402,C632464898,0
359,C2008806579,0
401,C1510905033,0
493,C559176303,0
403,C525947377,0
372,C460654307,0
395,C908852287,0
573,C1111698267,0
396,C925665631,0
406,C694634153,0
380,C1939896914,0
715,C1068424087,0
396,C2083596661,0
576,C1095215203,0
356,C75915177,0
374,C2115894537,0
401,C848561051,0
377,C529211053,0
451,C1624343734,0
406,C2026820214,0
380,C1943470629,0
396,C388172452,0
590,C986035233,0
714,C834670817,0
375,C1511023458,0
398,C582666178,0
399,C218863809,0
376,C2033197265,0
596,C1121307855,0
594,C12561878,0
585,C196092097,0
733,C565737303,1
373,C1839058571,0
402,C2074652727,0
398,C196873807,0
614,C1255811967,0
500,C1029033720,0
402,C605148562,0
380,C1853939514,0
371,C1419819105,0
371,C860355829,0
549,C625119726,1
370,C1972143289,0
585,C28965827,0
393,C622952575,0
402,C1339760025,0
403,C1652187829,0
383,C626563538,0
371,C595169902,0
396,C925636494,0
404,C1180387324,0
380,C1117606617,0
403,C1799578326,0
478,C1484396683,0
370,C1598506821,0
373,C1753020952,0
356,C1586703498,0
374,C715482695,0
540,C320182937,0
576,C1468373827,1
428,C2130614557,0
402,C1253424849,0
404,C667779126,0
404,C1212940347,0
359,C471726090,0
573,C169618137,0
476,C2027390956,0
404,C1590542207,0
369,C2099016120,0
375,C471786500,0
371,C1994015906,0
394,C637033606,0
374,C307675255,0
596,C655594905,0
396,C438322854,0
394,C197999205,0
378,C783045643,0
379,C1705479841,0
404,C1551325225,0
399,C723695389,0
377,C814911124,0
525,C599659569,0
688,C1092800301,0
380,C1296095058,0
404,C2054144620,0
396,C1279934087,0
691,C1553611482,0
356,C114790737,0
375,C515428038,0
379,C1802342655,0
376,C1447392569,0
370,C977393128,0
596,C280804885,0
599,C240066186,0
370,C1859632925,0
399,C2096796466,0
400,C1082247274,0
402,C1791443130,0
357,C1540562808,0
403,C2019062746,0
514,C2121451580,0
395,C405161824,0
402,C891205646,0
372,C834000264,0
374,C1509229260,0
382,C922032828,0
403,C814206038,0
548,C734408631,0
370,C823853951,0
550,C122366363,0
386,C739793738,1
369,C1047907213,0
595,C766947362,0
399,C1977328629,0
393,C1145770441,0
374,C1784455790,0
405,C638926565,0
683,C105868453,0
401,C95897237,0
377,C328485218,0
378,C176463369,0
394,C1696328246,0
518,C1399829882,0
474,C1270104944,0
613,C1118147077,1
416,C2032896736,0
400,C859899770,0
376,C91603927,0
382,C498702518,0
531,C2056555088,0
400,C80450023,0
408,C1013193231,0
522,C1318682101,0
393,C1737043074,0
546,C682224475,0
371,C337436619,0
356,C1046597296,0
356,C1353481620,0
369,C1688407202,0
357,C1659448197,0
396,C1500049712,0
686,C37930759,0
383,C300985632,0
405,C426724727,0
550,C88027391,0
426,C1848173508,0
692,C606748817,0
383,C981061186,0
379,C1368398977,0
403,C62730763,0
491,C816802649,1
405,C171669819,0
495,C1061585532,0
619,C1871527938,0
714,C593869608,0
376,C1040764157,0
474,C32683385,0
398,C563294317,0
394,C862442246,0
493,C634655641,0
374,C1459219329,0
402,C1331982799,0
587,C1621818498,0
588,C1753029186,0
397,C774467010,0
573,C1127209910,0
394,C581592205,0
396,C1748644681,0
542,C204028965,0
356,C1923491700,0
398,C569320847,0
374,C923312022,0
396,C68538182,0
359,C1466051378,0
420,C1423483893,0
378,C1498001380,0
546,C1105927958,0
359,C374971374,1
369,C1020942872,0
567,C2063176186,0
670,C2085303535,1
743,C1280323807,1
546,C1794989444,0
381,C407661272,0
661,C1013831382,0
396,C108953731,0
710,C771847525,0
356,C352292192,0
396,C1862426742,0
681,C1136765827,0
374,C494287475,0
401,C582542761,0
383,C1869327105,0
646,C51318897,1
373,C1556624890,0
524,C1950327653,0
395,C2023748622,0
408,C2116174905,0
359,C1369184860,0
380,C807060501,0
400,C1219136063,0
379,C1351172937,0
356,C939326664,0
356,C616881177,0
381,C187832875,0
398,C1795126007,0
407,C1139974454,0
372,C1150432059,0
402,C1931472734,0
371,C152794724,0
423,C1392636479,1
375,C144377447,0
403,C1163169306,0
687,C268849903,0
356,C2030124353,0
400,C1104757036,0
542,C453301165,0
403,C899285358,0
709,C1736541590,0
667,C118393699,1
372,C420076108,0
590,C1267850081,0
408,C1382938408,0
705,C391757615,0
500,C665409961,0
414,C1765244113,1
686,C2115394049,0
401,C2048036813,0
399,C896881012,0
376,C1354478512,0
407,C877767129,0
619,C198955400,0
406,C39190161,0
383,C644348876,0
426,C441308906,0
372,C1825407999,0
610,C1655150150,0
378,C1266382401,0
571,C1076241800,0
380,C701686726,0
377,C663417326,0
356,C36838456,0
405,C1606310254,0
393,C1732186780,0
377,C1528992342,0
398,C225099733,0
397,C613911667,0
526,C1427813541,0
375,C338912688,0
398,C5208090,0
690,C1099545069,0
407,C1465264131,0
402,C681083077,0
394,C2110566538,0
422,C875142569,0
398,C773340136,0
404,C1066178885,0
357,C5804747,0
395,C1329778467,0
359,C760772844,0
370,C1419092368,0
399,C32902078,0
544,C1091291247,0
375,C1184460408,0
358,C1345715282,0
401,C1288234160,0
525,C1512229793,0
590,C1240108659,0
376,C297052195,0
370,C1098064010,0
522,C549793403,0
711,C1666144703,1
485,C1247391276,1
548,C1493918369,0
379,C1218579350,0
400,C864044657,0
380,C975666712,0
563,C775337498,0
401,C493344329,0
396,C444352164,0
379,C593689424,0
379,C509746782,0
399,C1828818387,0
378,C107755857,0
401,C838327209,0
384,C1652188383,0
399,C1794633138,0
612,C1111342205,0
374,C1627337905,0
396,C1106985848,0
380,C1491301178,0
357,C2005573680,0
596,C68316928,0
374,C426551340,0
542,C343184861,0
544,C1903282573,0
397,C2064934811,0
402,C880844535,0
545,C393091825,0
373,C1017298954,0
395,C1946351888,0
377,C2023434044,0
403,C322232086,0
403,C1977754327,0
384,C599681355,0
451,C923373681,0
379,C159356072,0
407,C41064905,0
684,C1618619956,0
377,C649841170,0
379,C2034386571,0
425,C1353907463,1
371,C1514886477,0
408,C1186015696,0
407,C1612266368,0
681,C329211190,0
396,C1745079314,0
356,C702816450,0
370,C1532509848,0
358,C477978315,0
420,C25563191,0
395,C1620546081,0
546,C682410461,0
401,C1045520193,0
377,C1796776791,0
400,C1901222332,0
426,C1249858288,0
585,C584146366,0
669,C1246817496,0
359,C1784439831,0
428,C1363157226,0
495,C1905989073,0
715,C1844231876,0
378,C986755035,0
500,C1314443682,0
374,C2028911575,0
588,C403920383,1
402,C2101364535,0
370,C295849509,0
514,C820662827,0
403,C495952674,0
563,C1237943319,1
380,C73230625,0
375,C2117729273,0
370,C974031781,0
718,C272872512,0
617,C1684257749,0
728,C1817806739,1
617,C211474355,0
592,C1735354771,0
381,C2023857094,0
376,C875374519,0
398,C1748651329,0
378,C453940046,0
399,C767365081,0
378,C1999664327,0
687,C347826804,0
619,C306214941,0
398,C1218383519,0
379,C63759130,0
356,C1819822284,0
405,C1009904756,0
400,C154030447,0
401,C56081415,0
395,C614234086,0
358,C818883770,0
608,C1296097183,0
471,C46807109,0
357,C1553092056,0
396,C1081447549,0
595,C1989248216,0
396,C734381670,0
371,C37945915,0
394,C1422272972,0
400,C1635272501,0
403,C743199061,0
380,C1760261797,0
590,C100624383,0
382,C649862585,0
395,C299565306,0
372,C1318871212,0
373,C1359806714,0
359,C1271664415,0
370,C1124726545,0
596,C486656251,0
400,C1935833681,0
405,C1520431207,0
683,C521492308,0
527,C2107618883,0
401,C190737612,0
372,C1861920244,0
380,C1152987775,0
372,C1459561810,0
400,C58144648,0
684,C393320999,0
688,C1291391210,0
492,C617802532,0
514,C215098154,0
401,C454578282,0
564,C209928657,1
372,C1312467281,0
541,C1395197193,1
380,C939535983,0
376,C197454482,0
398,C1637465690,0
378,C288050577,0
400,C1718037599,0
394,C883810443,0
522,C945857150,0
406,C1127906200,0
369,C190697817,0
377,C156237247,0
594,C783690506,0
514,C1997254343,0
378,C1350371035,0
377,C2111634910,0
377,C512256902,0
565,C1319264311,0
379,C1671287122,0
396,C292160825,0
404,C1726337851,0
385,C1599155055,0
403,C1726041544,0
403,C1455777695,0
495,C60767299,0
522,C717594482,0
405,C1898718515,0
358,C1312658131,0
404,C750630778,0
403,C1809879561,0
372,C857062676,0
403,C2135772992,0
709,C193789741,0
404,C2053785173,0
379,C2053352899,0
399,C2118836984,0
380,C1878375408,0
383,C1465109591,0
373,C1444622025,0
398,C1002409840,0
394,C1924671098,0
400,C1087433758,0
358,C55567473,0
500,C393077948,0
378,C1476681108,0
522,C1206745071,0
386,C2043269100,1
405,C198752606,0
373,C1449563270,0
610,C1256615682,0
670,C712172929,0
416,C1143782267,0
589,C2017332038,0
590,C2127925221,0
400,C1493865028,0
404,C20427859,0
574,C900029037,0
373,C1032427768,0
396,C51383979,0
690,C729051857,0
402,C773894567,0
376,C1008208369,0
376,C495786945,0
395,C1268259084,0
601,C865504538,1
356,C1120846658,0
396,C1755403783,0
397,C195603024,0
403,C1364294041,0
382,C1663164261,0
396,C903557258,0
372,C2033904198,0
400,C418339822,0
687,C1587635095,0
378,C2047539678,0
379,C872153009,0
356,C54947884,0
656,C165147484,0
400,C2080384155,0
400,C203516120,0
398,C1847965179,0
378,C1025381247,0
403,C1258682276,0
